label,candidate_apex_x,loglik,fixed_b,fixed_pi,n,source_file,relative_loglik
CTCF motif,-1.0,-1036752.688940388,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-820.6724600369344
CTCF motif,-0.75,-1037250.1395967241,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-1318.123116372968
CTCF motif,-0.5,-1037870.963076522,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-1938.946596170892
CTCF motif,-0.25,-1038617.5212389963,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-2685.5047586451983
CTCF motif,0.0,-1039491.5219775945,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-3559.505497243372
CTCF motif,0.25,-1040493.9394069358,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-4561.922926584724
CTCF motif,0.5,-1041624.9526446852,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-5692.936164334067
CTCF motif,0.75,-1042883.9060627811,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-6951.8895824300125
CTCF motif,1.0,-1044269.2925958136,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-8337.276115462533
CTCF motif,1.25,-1045778.7603406789,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-9846.743860327755
CTCF motif,1.5,-1047409.141402887,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-11477.124922535848
CTCF motif,1.75,-1049156.5008568424,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-13224.48437649128
CTCF motif,2.0,-1051016.2028632378,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-15084.18638288672
CTCF motif,2.25,-1052982.990452259,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-17050.97397190798
CTCF motif,2.5,-1055051.0752212089,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-19119.058740857756
CTCF motif,2.75,-1057214.2331669072,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-21282.216686556116
CTCF motif,3.0,-1059465.9030235603,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-23533.8865432092
CTCF motif,3.25,-1061799.283756377,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-25867.267276025843
CTCF motif,3.5,-1064207.4282334,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-28275.411753048887
CTCF motif,3.75,-1066683.330540937,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-30751.314060585806
CTCF motif,4.0,-1069220.004910225,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-33287.98842987395
CTCF motif,4.25,-1071810.5547761829,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-35878.538295831764
CTCF motif,4.5,-1074448.2310803258,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-38516.214599974686
CTCF motif,4.75,-1077126.4795369755,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-41194.4630566244
CTCF motif,5.0,-1079838.9771729556,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-43906.96069260454
CTCF motif,5.25,-1082579.6589878725,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-46647.642507521436
CTCF motif,5.5,-1085342.7360261083,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-49410.719545757165
CTCF motif,5.75,-1088122.706469536,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-52190.68998918496
CTCF motif,6.0,-1090914.3615293729,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-54982.345049021766
CTCF motif,6.25,-1093712.7879280732,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-57780.7714477221
CTCF motif,6.5,-1096513.3686246257,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-60581.35214427463
CTCF motif,6.75,-1099311.7831699234,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-63379.76668957225
CTCF motif,7.0,-1102104.008715297,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-66171.992234946
CTCF motif,7.25,-1104886.3222766803,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-68954.30579632916
CTCF motif,7.5,-1107655.3044222177,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-71723.28794186655
CTCF motif,7.75,-1110407.8441442314,32.73390871924943,0.4850323756521174,200000,source_data\method_B\TF_vplot\from_server_three_assays\TF_fragL_dist_three_assays\loMNase\CTCF_fragL_dist.txt,-74475.8276638803
